system_id,n_planets,n_pairs,delta_logR_median,delta_logR_mean,ratio_median,ratio_geomean,std_logR,IQR_logR,spearman_rho_k_logR,spearman_p
system_id,2,1,0.010219165181686085,0.010219165181686085,1.023809523809524,1.023809523809524,0.0072260409980356875,0.0051095825908429315,0.9999999999999999,
system_id,2,1,0.015910001889287484,0.015910001889287484,1.037313432835821,1.037313432835821,0.011250070224605961,0.007955000944643631,0.9999999999999999,
system_id,3,2,0.0,0.0,1.0000276395798784,1.0,0.0018642467738753104,0.0016144850650992026,0.0,1.0
system_id,3,2,0.004879918644578152,0.004879918644578152,1.013230900554844,1.0112997936948631,0.01624326439640726,0.015857206588603123,0.5,0.6666666666666667
system_id,5,4,0.09200689611112445,0.21023552006077478,1.3023359327707154,1.6226898515790171,0.3514718648832982,0.23370157641135636,0.3,0.6238376647810728
system_id,3,2,0.19206922241851004,0.19206922241851004,1.6297419930716428,1.5562136575249876,0.20684638827654367,0.1920692224185101,1.0,0.0
system_id,2,1,0.015910001889287484,0.015910001889287484,1.037313432835821,1.037313432835821,0.011250070224605961,0.007955000944643631,0.9999999999999999,
system_id,2,1,0.0191631592870094,0.0191631592870094,1.045112781954887,1.045112781954887,0.013550399880802312,0.009581579643504812,0.9999999999999999,
system_id,3,2,-0.09779609358213062,-0.09779609358213062,1.3651776422843398,0.7983694432216527,0.299843731781684,0.2943703276633284,-0.5,0.6666666666666667
system_id,2,1,0.010636314845785089,0.010636314845785089,1.0247933884297522,1.0247933884297522,0.007521010354289784,0.005318157422892655,0.9999999999999999,
system_id,2,1,0.4683991586217663,0.4683991586217663,2.9403508771929827,2.9403508771929823,0.33120822136352424,0.2341995793108832,0.9999999999999999,
system_id,2,1,0.5394028111023985,0.5394028111023985,3.4626038781163437,3.4626038781163437,0.3814153855215924,0.26970140555119926,0.9999999999999999,
system_id,2,1,0.542837747544775,0.542837747544775,3.49009900990099,3.49009900990099,0.38384425237294156,0.2714188737723875,0.9999999999999999,
system_id,2,1,-0.03553832537898893,-0.03553832537898893,0.9214285714285715,0.9214285714285715,0.02512939086749706,0.017769162689494244,-0.9999999999999999,
system_id,4,3,0.01365631732930686,-0.012406679373168148,1.0319444444444446,0.9718367561459067,0.028872137158275326,0.02869211483861639,-0.19999999999999998,0.8
system_id,2,1,0.11251367544821511,0.11251367544821511,1.2957274978864772,1.2957274978864772,0.07955918288565526,0.0562568377241075,0.9999999999999999,
system_id,2,1,0.13076828026902387,0.13076828026902387,1.3513513513513513,1.3513513513513513,0.09246713774232977,0.06538414013451199,0.9999999999999999,
system_id,3,2,0.20440957097019943,0.20440957097019943,1.603069729534392,1.6010672385556037,0.20479381632965898,0.2044095709701994,1.0,0.0
system_id,4,3,0.21620848226366368,0.16865724260709317,1.6451612903225805,1.4745423237403086,0.2309389227586397,0.2886492936530677,1.0,0.0
system_id,2,1,0.40971171120200267,0.40971171120200267,2.568690095846645,2.568690095846645,0.28970992932248046,0.20485585560100134,0.9999999999999999,
system_id,3,2,0.13442265614628998,0.13442265614628998,1.3718487394957983,1.362770287738494,0.13749974407021065,0.13442265614628995,1.0,0.0
system_id,2,1,0.1512676753306491,0.1512676753306491,1.4166666666666667,1.4166666666666667,0.10696239900062701,0.07563383766532454,0.9999999999999999,
system_id,2,1,0.3387054443032551,0.3387054443032551,2.18125,2.18125,0.23950091649163416,0.16935272215162753,0.9999999999999999,
system_id,2,1,0.18576414179816536,0.18576414179816536,1.5337837837837838,1.5337837837837838,0.1313550843667821,0.09288207089908265,0.9999999999999999,
system_id,2,1,0.2651174397733367,0.2651174397733367,1.8412698412698412,1.8412698412698412,0.1874663394745425,0.13255871988666837,0.9999999999999999,
system_id,2,1,0.282546589969968,0.282546589969968,1.9166666666666665,1.9166666666666665,0.19979060976889934,0.14127329498498403,0.9999999999999999,
system_id,2,1,0.01712375945803274,0.01712375945803274,1.040216550657386,1.040216550657386,0.01210832643218223,0.008561879729016397,0.9999999999999999,
system_id,2,1,0.22904432575277994,0.22904432575277994,1.6945107398568018,1.6945107398568018,0.16195879593209128,0.11452216287639,0.9999999999999999,
system_id,3,2,0.15273080523152807,0.15273080523152807,1.4778103821700552,1.4214474385332792,0.16816644978459416,0.15273080523152804,1.0,0.0
system_id,2,1,0.5791107932569939,0.5791107932569939,3.7941176470588234,3.794117647058823,0.4094931689703411,0.2895553966284969,0.9999999999999999,
system_id,2,1,0.10249786756005477,0.10249786756005477,1.2661870503597124,1.2661870503597124,0.07247693720887538,0.0512489337800274,0.9999999999999999,
system_id,2,1,0.02855546045305286,0.02855546045305286,1.0679611650485437,1.0679611650485437,0.02019175972625796,0.014277730226526432,0.9999999999999999,
system_id,3,2,0.011532652034346686,0.011532652034346686,1.0278890600924497,1.026910636104941,0.015899282275520683,0.01524466107395013,0.5,0.6666666666666667
system_id,2,1,0.07923665097977874,0.07923665097977874,1.200153099250605,1.200153099250605,0.05602877322631324,0.039618325489889375,0.9999999999999999,
system_id,2,1,-0.08832773148452588,-0.08832773148452588,0.815966386554622,0.815966386554622,0.06245713789953277,0.04416386574226294,-0.9999999999999999,
system_id,2,1,0.4662756529621579,0.4662756529621579,2.926008968609865,2.9260089686098647,0.32970667611172716,0.23313782648107895,0.9999999999999999,
system_id,2,1,0.6337941357462574,0.6337941357462574,4.3032258064516125,4.3032258064516125,0.44816013126244586,0.31689706787312877,0.9999999999999999,
system_id,3,2,0.13021917287202273,0.13021917287202273,1.5686153846153845,1.3496438276591574,0.19190834414040678,0.18719084902544103,0.5,0.6666666666666667
