iter,delta_logR_median__across_systems_median,std_logR__across_systems_mean,spearman_rho__across_systems_median,obs_delta_logR_median__across_systems_median,obs_std_logR__across_systems_mean,obs_spearman_rho__across_systems_median
1,0.02644286478275988,0.28249012730181394,0.5,0.07774791313780854,0.13622366970685038,0.9999999999999999
2,0.007201342255773277,0.28743474818564224,0.12142857142857144,0.07774791313780854,0.13622366970685038,0.9999999999999999
3,-0.004379355921465905,0.2801941731968993,0.0,0.07774791313780854,0.13622366970685038,0.9999999999999999
4,0.0016887885507325118,0.2927003754938378,0.0,0.07774791313780854,0.13622366970685038,0.9999999999999999
5,-0.012364866182355577,0.2854993125673602,0.0,0.07774791313780854,0.13622366970685038,0.9999999999999999
6,0.023080266018718057,0.2938236354721724,0.5,0.07774791313780854,0.13622366970685038,0.9999999999999999
7,-0.0074171797171199705,0.28876855749654046,-0.08571428571428573,0.07774791313780854,0.13622366970685038,0.9999999999999999
8,-0.01133125501073845,0.28817257858467094,-0.15,0.07774791313780854,0.13622366970685038,0.9999999999999999
9,-0.0012509320661207302,0.2783618796988777,-0.19999999999999998,0.07774791313780854,0.13622366970685038,0.9999999999999999
10,-0.018318080192816777,0.2878035425952055,-0.39999999999999997,0.07774791313780854,0.13622366970685038,0.9999999999999999
11,-0.007203030270471034,0.279934250007578,-0.3,0.07774791313780854,0.13622366970685038,0.9999999999999999
12,0.0015257330814075765,0.2820227998915376,0.03571428571428572,0.07774791313780854,0.13622366970685038,0.9999999999999999
13,0.0,0.29163714009494945,0.0,0.07774791313780854,0.13622366970685038,0.9999999999999999
14,0.005513116829347291,0.27333723118389047,0.09999999999999999,0.07774791313780854,0.13622366970685038,0.9999999999999999
15,0.009198757366556662,0.2884139787654717,0.39999999999999997,0.07774791313780854,0.13622366970685038,0.9999999999999999
16,-0.014902621985030853,0.2849826929620533,-0.39999999999999997,0.07774791313780854,0.13622366970685038,0.9999999999999999
17,-0.008242506909515473,0.29680136264133167,-0.19999999999999998,0.07774791313780854,0.13622366970685038,0.9999999999999999
18,-0.004039249998453148,0.2857231808826995,0.0,0.07774791313780854,0.13622366970685038,0.9999999999999999
19,-0.0024317411345254475,0.29315434807808277,-0.09999999999999999,0.07774791313780854,0.13622366970685038,0.9999999999999999
20,-0.0091260861859353,0.28534886669114934,-0.19999999999999998,0.07774791313780854,0.13622366970685038,0.9999999999999999
21,-0.0066964737333991,0.28102287162800244,-0.19523809523809527,0.07774791313780854,0.13622366970685038,0.9999999999999999
22,-0.005176988876468336,0.2878824352347571,-0.19999999999999998,0.07774791313780854,0.13622366970685038,0.9999999999999999
23,-0.003453410937586429,0.2863168493675174,-0.09999999999999999,0.07774791313780854,0.13622366970685038,0.9999999999999999
24,-0.004284248526708126,0.289824141910484,-0.09999999999999999,0.07774791313780854,0.13622366970685038,0.9999999999999999
25,-0.008438620002633943,0.29216404284243636,-0.19999999999999998,0.07774791313780854,0.13622366970685038,0.9999999999999999
26,-0.0014133030661011778,0.28177186849957103,-0.09999999999999999,0.07774791313780854,0.13622366970685038,0.9999999999999999
27,-0.0021581591219560353,0.29563018412065617,0.0,0.07774791313780854,0.13622366970685038,0.9999999999999999
28,0.0010502631951930519,0.28453669100035656,0.0,0.07774791313780854,0.13622366970685038,0.9999999999999999
29,-0.005692841635267981,0.2816133548438762,-0.19999999999999998,0.07774791313780854,0.13622366970685038,0.9999999999999999
30,-0.003863168045454113,0.28489129384943696,-0.19999999999999998,0.07774791313780854,0.13622366970685038,0.9999999999999999
31,0.016233450103765784,0.28978269729550166,0.39999999999999997,0.07774791313780854,0.13622366970685038,0.9999999999999999
32,0.0008163468569418186,0.2899375892605211,0.15,0.07774791313780854,0.13622366970685038,0.9999999999999999
33,-0.002058462632481113,0.2845124339172688,0.06850660165927172,0.07774791313780854,0.13622366970685038,0.9999999999999999
34,-0.006028481181545753,0.28017380422203236,-0.19999999999999998,0.07774791313780854,0.13622366970685038,0.9999999999999999
35,-0.011518523582475904,0.2953122255925797,-0.19999999999999998,0.07774791313780854,0.13622366970685038,0.9999999999999999
36,0.0066384904437503806,0.29693443055949026,0.05714285714285715,0.07774791313780854,0.13622366970685038,0.9999999999999999
37,-0.008882171472305078,0.2891754646067197,0.0,0.07774791313780854,0.13622366970685038,0.9999999999999999
